number,type,title,description,meta,status,detail_chars,file
"35","GUIDE","Atomic Structure and Periodic Trends","Atomic structure explains how protons, neutrons, and electrons are arranged, and the quantum model predicts how electrons fill orbitals. Those configurations, governed by effective nuclear charge, drive every periodic trend the MCAT tests.","~30 min · 6 sections · cheat sheet","exported","26689","items/035-guide-atomic-structure-and-periodic-trends.md"
"36","GUIDE","Bonding and Molecular Geometry","Chemical bonds span a continuum from ionic to covalent set by electronegativity differences, and the arrangement of bonding and lone-pair electrons (VSEPR) plus hybridization fixes a molecule's shape, polarity, and intermolecular behavior. This guide links Lewis structures, geometry, and bond properties into one predictive framework.","~29 min · 6 sections · cheat sheet","exported","20586","items/036-guide-bonding-and-molecular-geometry.md"
"37","GUIDE","Organic Chemistry: Functional Groups and Reactions","A working tour of the functional groups the MCAT tests and the mechanisms that connect them: substitution and elimination, carbonyl addition, acyl substitution, redox of alcohols and amines, and how IR, NMR, and mass spectrometry let you read structure off a spectrum. The emphasis is on the few governing patterns (electrophilic carbons, leaving group ability, resonance) that predict most reactions.","~31 min · 6 sections · cheat sheet","exported","23223","items/037-guide-organic-chemistry-functional-groups-and-reactions.md"
"38","GUIDE","The Biological Basis of Behavior","Behavior emerges from the nervous and endocrine systems acting together, from single neurons firing action potentials to whole brain regions coordinating cognition and emotion. This guide traces that hierarchy and the genetic and environmental forces that shape it.","~31 min · 7 sections · cheat sheet","exported","22010","items/038-guide-the-biological-basis-of-behavior.md"
"39","GUIDE","Cognition, Language, and Intelligence","Cognition spans how thinking develops (Piaget and Vygotsky), how we solve problems and fall into heuristic-driven biases, how intelligence is theorized and measured, and how language is structured, acquired, and localized in the brain. This guide ties those threads together with the high-yield distinctions the MCAT tests most.","~32 min · 6 sections · cheat sheet","exported","25620","items/039-guide-cognition-language-and-intelligence.md"
"40","HACK SHEET","Motion, forces, and energy","Every mechanics and energy formula on the exam, plus how to use them.","18 equations · handwritten","exported","1120","items/040-hack-sheet-motion-forces-and-energy.md"
"41","HACK SHEET","Waves, sound, and light","Sound, optics, and everything that oscillates, boiled down to the formulas.","15 equations · handwritten","exported","902","items/041-hack-sheet-waves-sound-and-light.md"
"42","HACK SHEET","Fluids","Pressure, buoyancy, and flow, with the intuition that beats the algebra.","8 equations · handwritten","exported","628","items/042-hack-sheet-fluids.md"
"43","HACK SHEET","Gases and thermodynamics","The gas laws, heat, and free energy, in one place.","13 equations · handwritten","exported","837","items/043-hack-sheet-gases-and-thermodynamics.md"
"44","HACK SHEET","Electricity and magnetism","Charges, circuits, and fields, the formulas you cannot blank on.","14 equations · handwritten","exported","746","items/044-hack-sheet-electricity-and-magnetism.md"
"45","HACK SHEET","Acids, bases, and equilibrium","Everything pH, buffers, and equilibrium, with the shortcuts that come up.","8 equations · handwritten","exported","932","items/045-hack-sheet-acids-bases-and-equilibrium.md"
"46","HACK SHEET","Kinetics, electrochem, and structure","Rates, cells, and the atomic and bonding odds and ends.","10 equations · handwritten","exported","743","items/046-hack-sheet-kinetics-electrochem-and-structure.md"
"47","HACK SHEET","Enzymes and amino acids","Kinetics, inhibition, and the amino acid facts that show up on test day.","4 equations · handwritten","exported","840","items/047-hack-sheet-enzymes-and-amino-acids.md"
"48","HACK SHEET","Genetics and the central dogma","From DNA to protein, plus the population math that trips people up.","2 equations · handwritten","exported","882","items/048-hack-sheet-genetics-and-the-central-dogma.md"
"49","HACK SHEET","Body systems and lab math","The gas, membrane, and separation equations the bio section slips in.","4 equations · handwritten","exported","631","items/049-hack-sheet-body-systems-and-lab-math.md"
"50","HACK SHEET","Psych and soc, theories and traps","The theorists, the schedules, and the biases that all sound alike.","key equations · handwritten","exported","917","items/050-hack-sheet-psych-and-soc-theories-and-traps.md"
"51","HACK SHEET","CARS strategy and traps","No formulas here. Just how to read, what each question wants, and the traps.","key equations · handwritten","exported","870","items/051-hack-sheet-cars-strategy-and-traps.md"
"52","PATHWAY","Glycolysis","Splits glucose into two pyruvate for a small ATP and NADH payoff.","10 steps · fill in","exported","351","items/052-pathway-glycolysis.md"
"53","PATHWAY","Pyruvate to Acetyl CoA","The bridge from glycolysis into the citric acid cycle.","2 steps · fill in","exported","219","items/053-pathway-pyruvate-to-acetyl-coa.md"
"54","PATHWAY","Citric acid cycle","Oxidizes acetyl CoA to CO₂ and harvests electrons as NADH and FADH₂.","9 steps · fill in","exported","351","items/054-pathway-citric-acid-cycle.md"
"55","PATHWAY","Electron transport chain","Uses NADH and FADH₂ to pump protons and make ATP, with O₂ as the final electron acceptor.","7 steps · fill in","exported","352","items/055-pathway-electron-transport-chain.md"
"56","PATHWAY","Glycogen metabolism","Stores glucose as glycogen and releases it on demand.","4 steps · fill in","exported","267","items/056-pathway-glycogen-metabolism.md"
"57","PATHWAY","Gluconeogenesis","Builds new glucose from pyruvate, lactate, glycerol, and amino acids.","7 steps · fill in","exported","324","items/057-pathway-gluconeogenesis.md"
"58","PATHWAY","Pentose phosphate pathway","Makes NADPH for biosynthesis and ribose 5 phosphate for nucleotides.","4 steps · fill in","exported","275","items/058-pathway-pentose-phosphate-pathway.md"
"59","PATHWAY","Beta oxidation","Chops fatty acids into acetyl CoA, two carbons at a time.","5 steps · fill in","exported","274","items/059-pathway-beta-oxidation.md"
"60","PATHWAY","Fatty acid synthesis","Builds palmitate from acetyl CoA using NADPH.","3 steps · fill in","exported","231","items/060-pathway-fatty-acid-synthesis.md"
"61","PATHWAY","Fermentation","Regenerates NAD⁺ so glycolysis can keep running without oxygen.","2 steps · fill in","exported","185","items/061-pathway-fermentation.md"
"62","PATHWAY","Cori cycle","Recycles lactate made in muscle back into glucose in the liver.","5 steps · fill in","exported","257","items/062-pathway-cori-cycle.md"
"63","PATHWAY","Urea cycle","Turns toxic ammonia into urea so the body can excrete nitrogen.","6 steps · fill in","exported","299","items/063-pathway-urea-cycle.md"
"64","LESSON","Electrolytic cells","The cell type the MCAT loves to flip on you, same reactions, opposite electrode signs.","~7 min · 4 concepts · + drill","exported","1859","items/064-lesson-electrolytic-cells.md"
"65","LESSON","Amino acids","Structures, charges, and one-letter codes, the most testable 20 molecules on the exam.","~8 min · 3 concepts · + drill","exported","1472","items/065-lesson-amino-acids.md"
"66","LESSON","Glycolysis","Glucose → 2 pyruvate, in ten steps. Know the irreversible enzymes and the energy ledger cold.","~9 min · 3 concepts · + drill","exported","1372","items/066-lesson-glycolysis.md"
"67","LESSON","Extreme-answer traps (CARS)","Why the strongest-sounding choice is usually wrong, and how to stop picking it.","~5 min · 3 concepts · + drill","exported","1417","items/067-lesson-extreme-answer-traps-cars.md"
"68","LESSON","Acid base & buffers","Henderson Hasselbalch, pKa, and the titration landmarks the MCAT tests on every form.","~7 min · 4 concepts · + drill","exported","1964","items/068-lesson-acid-base-and-buffers.md"
"69","LESSON","Oxidative phosphorylation","Where glucose's energy actually gets cashed in, the electron transport chain and chemiosmosis.","~8 min · 4 concepts · + drill","exported","1952","items/069-lesson-oxidative-phosphorylation.md"
"70","LESSON","Learning & conditioning","Classical vs operant, and the positive/negative grid that trips up half of test day.","~6 min · 4 concepts · + drill","exported","2162","items/070-lesson-learning-and-conditioning.md"
"71","RAPID FIRE","Biology Blitz","12 questions","12 questions","exported","110","items/071-rapid-fire-biology-blitz.md"
"72","RAPID FIRE","Biochem Blitz","12 questions","12 questions","exported","102","items/072-rapid-fire-biochem-blitz.md"
"73","RAPID FIRE","Chem and Physics Blitz","12 questions","12 questions","exported","142","items/073-rapid-fire-chem-and-physics-blitz.md"
"74","RAPID FIRE","Psych and Soc Blitz","12 questions","12 questions","exported","128","items/074-rapid-fire-psych-and-soc-blitz.md"
"75","RAPID FIRE","Mixed Gauntlet","16 questions","16 questions","exported","110","items/075-rapid-fire-mixed-gauntlet.md"
"76","MATCH","Amino Acid Codes","6 pairs","6 pairs","exported","153","items/076-match-amino-acid-codes.md"
"77","MATCH","Galvanic vs Electrolytic","6 pairs","6 pairs","exported","295","items/077-match-galvanic-vs-electrolytic.md"
"78","FLASHCARDS","Amino Acid Sprint","8 cards","8 cards","exported","141","items/078-flashcards-amino-acid-sprint.md"
"79","FLASHCARDS","CARS Trap Drill","5 cards","5 cards","exported","190","items/079-flashcards-cars-trap-drill.md"
"80","SEQUENCE","Glycolysis Sprint","10 steps","10 steps","exported","656","items/080-sequence-glycolysis-sprint.md"
"81","MATCH","Buffer & Titration Facts","6 pairs","6 pairs","exported","285","items/081-match-buffer-and-titration-facts.md"
"82","SEQUENCE","Electron Transport Chain","8 steps","8 steps","exported","540","items/082-sequence-electron-transport-chain.md"
"83","MATCH","Reinforcement vs Punishment","6 pairs","6 pairs","exported","417","items/083-match-reinforcement-vs-punishment.md"
"84","BUCKET SORT","Amino Acids by Side Chain","12 to sort","12 to sort","exported","663","items/084-bucket-sort-amino-acids-by-side-chain.md"
"85","BUCKET SORT","Hormone Classes","12 to sort","12 to sort","exported","819","items/085-bucket-sort-hormone-classes.md"
"86","BUCKET SORT","Vitamin Solubility","12 to sort","12 to sort","exported","656","items/086-bucket-sort-vitamin-solubility.md"
"87","BUCKET SORT","Innate vs Adaptive Immunity","10 to sort","10 to sort","exported","534","items/087-bucket-sort-innate-vs-adaptive-immunity.md"
"88","BUCKET SORT","Defense Mechanisms","14 to sort","14 to sort","exported","716","items/088-bucket-sort-defense-mechanisms.md"
"89","BUCKET SORT","Strong vs Weak Acids & Bases","14 to sort","14 to sort","exported","707","items/089-bucket-sort-strong-vs-weak-acids-and-bases.md"
"90","RAPID FIRE","Hormone Sources, Blitz","12 questions","12 questions","exported","162","items/090-rapid-fire-hormone-sources-blitz.md"
"91","RAPID FIRE","Amino Acid Codes","12 questions","12 questions","exported","124","items/091-rapid-fire-amino-acid-codes.md"
"92","RAPID FIRE","Spot the Functional Group","12 questions","12 questions","exported","171","items/092-rapid-fire-spot-the-functional-group.md"
"93","RAPID FIRE","Psych/Soc Term Sprint","12 questions","12 questions","exported","251","items/093-rapid-fire-psych-soc-term-sprint.md"
"94","RAPID FIRE","Pick the Equation","12 questions","12 questions","exported","169","items/094-rapid-fire-pick-the-equation.md"
"95","RAPID FIRE","Vitamin Deficiencies","12 questions","12 questions","exported","216","items/095-rapid-fire-vitamin-deficiencies.md"
"96","MATCH","Lab Techniques","6 pairs","6 pairs","exported","718","items/096-match-lab-techniques.md"
"97","MATCH","Brain Regions","6 pairs","6 pairs","exported","371","items/097-match-brain-regions.md"
"98","MATCH","Enzymes & Reactions","6 pairs","6 pairs","exported","777","items/098-match-enzymes-and-reactions.md"
"99","MATCH","Theorists & Theories","6 pairs","6 pairs","exported","752","items/099-match-theorists-and-theories.md"
"100","SEQUENCE","Cardiac Conduction","7 steps","7 steps","exported","1458","items/100-sequence-cardiac-conduction.md"
"101","SEQUENCE","Action Potential Phases","7 steps","7 steps","exported","1686","items/101-sequence-action-potential-phases.md"
"102","SEQUENCE","Mitosis Phases","6 steps","6 steps","exported","1424","items/102-sequence-mitosis-phases.md"
"103","SEQUENCE","PCR Steps","4 steps","4 steps","exported","1098","items/103-sequence-pcr-steps.md"
"104","SEQUENCE","Transcription & Processing","7 steps","7 steps","exported","2051","items/104-sequence-transcription-and-processing.md"
"105","FLASHCARDS","Psych & Soc Terms","12 cards","12 cards","exported","258","items/105-flashcards-psych-and-soc-terms.md"
"106","FLASHCARDS","Biochem Rapid Recall","12 cards","12 cards","exported","401","items/106-flashcards-biochem-rapid-recall.md"
"107","FLASHCARDS","Physics Equations","12 cards","12 cards","exported","208","items/107-flashcards-physics-equations.md"
